date,国债ETF,纳指,创业板,黄金,沪深300
2021-06-24,526206.1646605628,526206.1646605628,526206.1646605628,,526206.1646605628
2021-06-25,531554.9190714355,531554.9190714355,531554.9190714355,,531554.9190714355
2021-06-28,534780.9415933505,534780.9415933505,534780.9415933505,,534780.9415933505
2021-06-29,534258.8638573971,534258.8638573971,534258.8638573971,,534258.8638573971
2021-06-30,539232.6044683182,539232.6044683182,539232.6044683182,,539232.6044683182
2021-07-01,537542.2281945,537542.2281945,537542.2281945,,537542.2281945
2021-07-02,485239.95029656816,485239.95029656816,485239.9502965682,,485239.9502965682
2021-07-05,492426.9410580203,492426.9410580203,492426.9410580202,,492426.9410580203
2021-07-06,495160.9216514436,495160.9216514436,495160.9216514436,,495160.92165144364
2021-07-07,490845.46722695057,490845.46722695057,490845.4672269506,,490845.46722695057
2021-07-08,496681.2136416017,496681.2136416017,496681.2136416017,,496681.2136416017
2021-07-09,672956.508994471,672956.508994471,672956.508994471,,
2021-07-12,664796.977536843,664796.977536843,664796.977536843,,
2021-07-13,500550.14283421694,500550.14283421694,500550.142834217,,500550.14283421694
2021-07-14,674672.7013916925,674672.7013916925,674672.7013916925,,
2021-07-15,505804.523328122,505804.523328122,505804.523328122,,505804.5233281219
2021-07-16,485063.015862242,485063.015862242,485063.015862242,,485063.015862242
2021-07-19,492443.0105021213,492443.0105021213,492443.0105021213,,492443.0105021213
2021-07-20,669368.4542065216,669368.4542065216,669368.4542065216,,
2021-07-21,666897.5168379255,666897.5168379255,666897.5168379255,,
2021-07-22,677393.0423257891,677393.0423257891,677393.0423257891,,
2021-07-23,677689.7658202631,677689.7658202631,677689.7658202631,,
2021-07-26,678271.5350714368,678271.5350714368,678271.5350714368,,
2021-07-27,1063543.807594212,1063543.807594212,,,
2021-07-28,648687.3769347249,648687.3769347249,648687.3769347249,,
2021-07-29,624965.6791045384,624965.6791045384,624965.6791045384,,
2021-07-30,619142.6270994353,619142.6270994353,619142.6270994353,,
2021-08-02,620912.6746069447,620912.6746069447,620912.6746069447,,
2021-08-03,623973.5709259267,623973.5709259267,623973.5709259267,,
2021-08-04,629150.1490772045,629150.1490772045,629150.1490772045,,
2021-08-05,633318.3745772814,633318.3745772814,633318.3745772814,,
2021-08-06,640998.6303710416,640998.6303710416,640998.6303710416,,
2021-08-09,639240.6943490056,639240.6943490056,639240.6943490056,,
2021-08-10,649155.4319116538,649155.4319116538,649155.4319116538,,
2021-08-11,648014.0333639607,648014.0333639607,648014.0333639607,,
2021-08-12,649120.1613397396,649120.1613397396,649120.1613397396,,
2021-08-13,657173.9565618706,657173.9565618706,657173.9565618706,,
2021-08-16,662082.7736016794,662082.7736016794,662082.7736016794,,
2021-08-17,704718.2644554802,704718.2644554802,,704718.2644554802,
2021-08-18,703592.8438259094,703592.8438259094,,703592.8438259094,
2021-08-19,698724.1376657768,698724.1376657768,,698724.1376657768,
2021-08-20,701748.3802325326,701748.3802325326,,701748.3802325326,
2021-08-23,705023.5171611827,705023.5171611827,,705023.5171611827,
2021-08-24,710060.4309388292,710060.4309388292,,710060.4309388292,
2021-08-25,708563.581268792,708563.581268792,,708563.581268792,
2021-08-26,706819.5932655942,706819.5932655942,,706819.5932655942,
2021-08-27,709467.3537507692,709467.3537507692,,709467.3537507692,
2021-08-30,711933.814820427,711933.814820427,,711933.814820427,
2021-08-31,715421.4140416958,715421.4140416958,,715421.4140416958,
2021-09-01,714453.6105129356,714453.6105129356,,714453.6105129356,
2021-09-02,713926.0776829834,713926.0776829834,,713926.0776829834,
